lnz_0,lnz_1,phase,component,beta,volume,edge_distance,betaOmega,nvec,dens,betaF,betaG,betapV
-8.0,0.5,0,0,1.0,1.0,27.586228448267445,-1352.7916312931618,5.258492343792268e-05,5.258492343792268e-05,-1244.6584639916352,108.13316730152654,1352.7916312931618
-8.0,0.5,0,1,1.0,1.0,27.586228448267445,-1352.7916312931618,216.2671759618281,216.2671759618281,-1244.6584639916352,108.13316730152654,1352.7916312931618
-8.0,0.5,1,0,1.0,1.0,,,,,,,
-8.0,0.5,1,1,1.0,1.0,,,,,,,
-7.157894736842105,0.5,0,0,1.0,1.0,27.586228448267445,-1352.791700772004,0.00012206648476321802,0.00012206648476321802,-1244.6590531262805,108.13264764572362,1352.791700772004
-7.157894736842105,0.5,0,1,1.0,1.0,27.586228448267445,-1352.791700772004,216.2670427695449,216.2670427695449,-1244.6590531262805,108.13264764572362,1352.791700772004
-7.157894736842105,0.5,1,0,1.0,1.0,,,,,,,
-7.157894736842105,0.5,1,1,1.0,1.0,,,,,,,
-6.315789473684211,0.5,0,0,1.0,1.0,27.586228448267445,-1352.7918620580147,0.00028336714925201637,0.00028336714925201637,-1244.6602849612043,108.13157709681032,1352.7918620580147
-6.315789473684211,0.5,0,1,1.0,1.0,27.586228448267445,-1352.7918620580147,216.2667335681375,216.2667335681375,-1244.6602849612043,108.13157709681032,1352.7918620580147
-6.315789473684211,0.5,1,0,1.0,1.0,,,,,,,
-6.315789473684211,0.5,1,1,1.0,1.0,,,,,,,
-5.473684210526316,0.5,0,0,1.0,1.0,27.586228448267445,-1352.7922364879046,0.0006578760285252806,0.0006578760285252806,-1244.662829654295,108.12940683360976,1352.7922364879046
-5.473684210526316,0.5,0,1,1.0,1.0,27.586228448267445,-1352.7922364879046,216.26601567847916,216.26601567847916,-1244.662829654295,108.12940683360976,1352.7922364879046
-5.473684210526316,0.5,1,0,1.0,1.0,,,,,,,
-5.473684210526316,0.5,1,1,1.0,1.0,,,,,,,
-4.631578947368421,0.5,0,0,1.0,1.0,27.586228448267445,-1352.7931058751578,0.0015276892811339519,0.0015276892811339519,-1244.6680072711235,108.12509860403429,1352.7931058751578
-4.631578947368421,0.5,0,1,1.0,1.0,27.586228448267445,-1352.7931058751578,216.26434843509384,216.26434843509384,-1244.6680072711235,108.12509860403429,1352.7931058751578
