spinodal,lnz_0,lnz_1,phase,component,beta,volume,edge_distance,betaOmega,nvec,dens,betaF,betaG,betapV
0,-1.5165139906666714,0.5,0,0,1.0,1.0,,,,,,,
0,-1.5165139906666714,0.5,0,1,1.0,1.0,,,,,,,
0,-1.5165139906666714,0.5,1,0,1.0,1.0,,,,,,,
0,-1.5165139906666714,0.5,1,1,1.0,1.0,,,,,,,
0,1.909162556000003,0.5,0,0,1.0,1.0,27.586228448267445,-1354.2951120392584,2.1651007856049853,2.1651007856049853,-1243.762329277141,110.53278276211738,1354.2951120392584
0,1.909162556000003,0.5,0,1,1.0,1.0,27.586228448267445,-1354.2951120392584,212.7985068245483,212.7985068245483,-1243.762329277141,110.53278276211738,1354.2951120392584
0,1.909162556000003,0.5,1,0,1.0,1.0,1.0,-1884.2890311765816,253.47907579312212,253.47907579312212,-1400.3549737760632,483.93405740051844,1884.2890311765816
0,1.909162556000003,0.5,1,1,1.0,1.0,1.0,-1884.2890311765816,0.0025943336058675895,0.0025943336058675895,-1400.3549737760632,483.93405740051844,1884.2890311765816
1,-1.5165139906666714,0.5,0,0,1.0,1.0,27.586228448267445,-1352.8262510200975,0.03494632648977393,0.03494632648977393,-1244.7790553758316,108.04719564426601,1352.8262510200975
1,-1.5165139906666714,0.5,0,1,1.0,1.0,27.586228448267445,-1352.8262510200975,216.2003844746203,216.2003844746203,-1244.7790553758316,108.04719564426601,1352.8262510200975
1,-1.5165139906666714,0.5,1,0,1.0,1.0,25.45584412271571,-1058.561537540014,212.9489571374851,212.9489571374851,-1379.6993787962683,-321.13784125625443,1058.561537540014
1,-1.5165139906666714,0.5,1,1,1.0,1.0,25.45584412271571,-1058.561537540014,3.6044630812381375,3.6044630812381375,-1379.6993787962683,-321.13784125625443,1058.561537540014
1,1.909162556000003,0.5,0,0,1.0,1.0,,,,,,,
1,1.909162556000003,0.5,0,1,1.0,1.0,,,,,,,
1,1.909162556000003,0.5,1,0,1.0,1.0,,,,,,,
1,1.909162556000003,0.5,1,1,1.0,1.0,,,,,,,
