T*,V*,Rcut*,TAIL,ln(z*),<rho*>,stdev,<p*>,stdev,<U*>,stdev
1.5,512.0,2.5,LFS,-6.910146697156537,0.0010000409458484198,3.1962412592158905e-08,0.0014981948859214647,8.859471457188975e-08,-0.0027716431375819045,1.8133515715632052e-06
1.5,512.0,2.5,LFS,-6.9003669835611285,0.0010098936613358366,3.193345998265085e-08,0.0015129372061475888,8.900518919300726e-08,-0.0028265188342029195,1.8482473041728936e-06
1.5,512.0,2.5,LFS,-6.89058726996572,0.0010198436912759667,3.190515790774673e-08,0.0015278247740827687,8.941256838925497e-08,-0.0028824823162785507,1.883800490718376e-06
1.5,512.0,2.5,LFS,-6.88080755637031,0.0010298920016165625,3.187784995019378e-08,0.0015428590243614006,8.981673172700251e-08,-0.002939555185436189,1.9200230364571115e-06
1.5,512.0,2.5,LFS,-6.871027842774901,0.0010400395679883343,3.185190306817093e-08,0.001558041405859007,9.021755713189946e-08,-0.0029977594734304303,1.956927045543238e-06
1.5,512.0,2.5,LFS,-6.8612481291794944,0.0010502873758034524,3.1827708537588656e-08,0.0015733733818344964,9.061492093633946e-08,-0.003057117650739096,1.994524823608654e-06
1.5,512.0,2.5,LFS,-6.851468415584086,0.0010606364203559911,3.1805682706415616e-08,0.0015888564300750856,9.100869771418142e-08,-0.0031176526353370966,2.032828880833945e-06
1.5,512.0,2.5,LFS,-6.841688701988676,0.0010710877069227238,3.178626811082999e-08,0.0016044920430414809,9.139876065425412e-08,-0.0031793878016437337,2.0718519340568824e-06
1.5,512.0,2.5,LFS,-6.831908988393267,0.0010816422508652325,3.1769934019940385e-08,0.001620281728015022,9.178498122261737e-08,-0.003242346989651036,2.1116069100210218e-06
1.5,512.0,2.5,LFS,-6.822129274797859,0.00109230107773346,3.175717730932528e-08,0.0016362270072468575,9.216722936076343e-08,-0.0033065545142372823,2.1521069478485873e-06
1.5,512.0,2.5,LFS,-6.812349561202448,0.0011030652233695874,3.174852310202098e-08,0.0016523294181076738,9.254537347339613e-08,-0.003372035174663478,2.19336540180114e-06
1.5,512.0,2.5,LFS,-6.80256984760704,0.0011139357340137026,3.1744525343522644e-08,0.0016685905132397066,9.291928045522446e-08,-0.0034388142642652877,2.235395844005228e-06
1.5,512.0,2.5,LFS,-6.792790134011631,0.001124913666410327,3.1745767267489346e-08,0.0016850118607099802,9.328881571676166e-08,-0.003506917580339297,2.2782120671580656e-06
1.5,512.0,2.5,LFS,-6.7830104204162245,0.0011360000879161887,3.1752861731917e-08,0.0017015950441653556,9.365384322053907e-08,-0.0035763714342270476,2.3218280872439394e-06
1.5,512.0,2.5,LFS,-6.773230706820814,0.001147196076608736,3.176645140998905e-08,0.0017183416629884644,9.401422551366264e-08,-0.003647202661602198,2.3662581462282027e-06
1.5,512.0,2.5,LFS,-6.763450993225406,0.0011585027213966309,3.178720881246058e-08,0.0017352533324569222,9.436982376443944e-08,-0.0037194386329660314,2.4115167147509506e-06
1.5,512.0,2.5,LFS,-6.753671279629997,0.001169921122130354,3.181583612453688e-08,0.0017523316839015406,9.472049780831436e-08,-0.0037931072643537797,2.45761849479852e-06
1.5,512.0,2.5,LFS,-6.743891566034587,0.0011814523897150768,3.1853064834855665e-08,0.0017695783648688148,9.506610618965254e-08,-0.0038682370282574624,2.504578422361275e-06
1.5,512.0,2.5,LFS,-6.734111852439178,0.0011930976462238905,3.189965514078613e-08,0.0017869950392833689,9.540650621446133e-08,-0.003944856964767478,2.5524116700704995e-06
1.5,512.0,2.5,LFS,-6.72433213884377,0.001204858025012674,3.195639510978379e-08,0.0018045833876127921,9.574155400269374e-08,-0.0040229966929389675,2.6011336498112458e-06
1.5,512.0,2.5,LFS,-6.7145524252483595,0.0012167346708361118,3.202409958362364e-08,0.0018223451070339815,9.607110454671875e-08,-0.004102686422388482,2.6507600153018135e-06
1.5,512.0,2.5,LFS,-6.704772711652953,0.0012287287399649638,3.210360881098595e-08,0.0018402819116011965,9.639501177635192e-08,-0.0041839569651246356,2.7013066646521174e-06
1.5,512.0,2.5,LFS,-6.694992998057544,0.001240841400304667,3.219578680018599e-08,0.0018583955324160434,9.671312862545158e-08,-0.004266839747616031,2.75278974287276e-06
1.5,512.0,2.5,LFS,-6.685213284462136,0.0012530738315147797,3.230151938791804e-08,0.0018766877177984385,9.702530710667538e-08,-0.004351366823102646,2.8052256443534403e-06
1.5,512.0,2.5,LFS,-6.675433570866725,0.0012654272251305617,3.242171202227203e-08,0.0018951602334611344,9.733139839061036e-08,-0.00443757088415689,2.85863101529164e-06
1.5,512.0,2.5,LFS,-6.665653857271317,0.001277902784684788,3.255728726676828e-08,0.0019138148626832603,9.763125289208926e-08,-0.004525485275497674,2.9130227560652036e-06
1.5,512.0,2.5,LFS,-6.655874143675908,0.001290501725831947,3.270918203911846e-08,0.0019326534064884448,9.792472036183072e-08,-0.004615144007063388,2.968418023561755e-06
1.5,512.0,2.5,LFS,-6.646094430080498,0.0013032252764729416,3.287834460141338e-08,0.0019516776838229583,9.821164998531611e-08,-0.004706581767348418,3.0248342334338586e-06
1.5,512.0,2.5,LFS,-6.6363147164850895,0.0013160746768815196,3.3065731328144193e-08,0.001970889531736458,9.84918904900219e-08,-0.004799833937007671,3.0822890622955536e-06
1.5,512.0,2.5,LFS,-6.626535002889683,0.0013290511798320077,3.3272303286304636e-08,0.0019902908055643483,9.876529025772832e-08,-0.004894936602738669,3.1408004498355975e-06
