n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
0,0,0.6666666666666666,512.0,2.830837466666666e-10,,2.830837466666666e-10,0.0,0.0,-6.238179482009679,0.0,0.0,-0.0,inf,
1,0,0.6666666666666666,512.0,7.738179482292792,0.3440499999999247,1.5000000002831129,-6.238179482009679,-0.3440499999999247,-5.894129482009754,0.001953125,1.0,0.3440499999999247,4.2466924e-10,-6.238179482009679
2,0,0.6666666666666666,512.0,14.774233418686176,0.5444999999998581,2.9859744546666667,-11.788258964019509,-1.0889999999997162,-5.349629482009896,0.00390625,2.0,1.0889999999997162,-0.010519159,-5.894129482009754
3,0,0.6666666666666666,512.0,21.395377551362806,0.6379833333332948,4.457939105333334,-16.93743844602947,-1.9139499999998844,-5.007829482009862,0.005859375,3.0,1.9139499999998844,-0.02103044733333333,-5.645812815343157
4,0,0.6666666666666666,512.0,27.719814374705898,0.6938499999999976,5.915896446666666,-21.803917928039233,-2.7753999999999905,-4.757129482009811,0.0078125,4.0,2.7753999999999905,-0.0315388325,-5.450979482009808
5,0,0.6666666666666666,512.0,33.811638243382426,0.7312099999999887,7.359940833333333,-26.451697410049093,-3.6560499999999436,-4.55912948200983,0.009765625,5.0,3.6560499999999436,-0.04201775,-5.290339482009818
6,0,0.6666666666666666,512.0,39.71211091205889,0.758016666666664,8.78993402,-30.922176892058893,-4.548099999999984,-4.395679482009818,0.01171875,6.0,4.548099999999984,-0.052516494999999996,-5.153696148676482
7,0,0.6666666666666666,512.0,45.449130307402065,0.7783678571428391,10.206073933333334,-35.24305637406873,-5.448574999999874,-4.2563544820098365,0.013671875,7.0,5.448574999999874,-0.06298415714285714,-5.034722339152675
8,0,0.6666666666666666,512.0,51.04326551607856,0.7937512500000441,11.60837966,-39.434885856078566,-6.350010000000353,-4.135609482009777,0.015625,8.0,6.350010000000353,-0.07342881375,-4.929360732009821
9,0,0.6666666666666666,512.0,56.51109719142161,0.8060449999999904,12.996821853333334,-43.51427533808828,-7.254404999999913,-4.028874482009819,0.017578125,9.0,7.254404999999913,-0.08386302444444443,-4.834919482009809
10,0,0.6666666666666666,512.0,61.8640040400982,0.8162589999999887,14.37136922,-47.4926348200982,-8.162589999999888,-3.9330044820098315,0.01953125,10.0,8.162589999999888,-0.094294617,-4.7492634820098205
11,0,0.6666666666666666,512.0,67.11243156877461,0.8245504545454788,15.732147266666667,-51.380284302107945,-9.070055000000266,-3.846384482009789,0.021484375,11.0,9.070055000000266,-0.1047071909090909,-4.670934936555268
12,0,0.6666666666666666,512.0,72.26458851745112,0.8312541666666687,17.079184733333335,-55.18540378411778,-9.975050000000024,-3.767529482009813,0.0234375,12.0,9.975050000000024,-0.11510190833333334,-4.5987836486764815
13,0,0.6666666666666666,512.0,77.32773513279423,0.8371800000000129,18.412391866666667,-58.91534326612757,-10.883340000000167,-3.6947694820098,0.025390625,13.0,10.883340000000167,-0.12549324615384616,-4.531949482009813
14,0,0.6666666666666666,512.0,82.30678428147071,0.8421242857142305,19.731841533333334,-62.57494274813738,-11.789739999999227,-3.627514482009868,0.02734375,14.0,11.789739999999227,-0.13587412142857141,-4.469638767724098
15,0,0.6666666666666666,512.0,87.20809596348064,0.846308666666594,21.037723733333333,-66.17037223014731,-12.69462999999891,-3.5650494820098935,0.029296875,15.0,12.69462999999891,-0.14622762666666667,-4.411358148676487
16,0,0.6666666666666666,512.0,92.0349716454905,0.8500006250000656,22.329929933333332,-69.70504171215717,-13.600010000001049,-3.5065644820097575,0.03125,16.0,13.600010000001049,-0.15656906875,-4.356565107009823
17,0,0.6666666666666666,512.0,96.79168626083349,0.8523573529411876,23.608185066666667,-73.18350119416682,-14.49007500000019,-3.452554482009802,0.033203125,17.0,14.49007500000019,-0.16692484705882354,-4.30491183495099
18,0,0.6666666666666666,512.0,101.48324087617678,0.8542799999999799,24.8730902,-76.61015067617677,-15.377039999999639,-3.4018394820098408,0.03515625,18.0,15.377039999999639,-0.17724248333333334,-4.2561194820098205
19,0,0.6666666666666666,512.0,106.11150842485317,0.8564621052631286,26.124328266666666,-79.9871801581865,-16.272779999999443,-3.3533894820098453,0.037109375,19.0,16.272779999999443,-0.18755303157894737,-4.209851587272974
20,0,0.6666666666666666,512.0,110.67914884019646,0.8581470000000138,27.3622192,-83.31692964019646,-17.162940000000276,-3.3076994820098093,0.0390625,20.0,17.162940000000276,-0.19783356000000002,-4.165846482009823
21,0,0.6666666666666666,512.0,115.18867645553945,0.8596578571429402,28.586097333333335,-86.60257912220612,-18.052815000001743,-3.264274482009732,0.041015625,21.0,18.052815000001743,-0.20813590476190474,-4.123932339152672
22,0,0.6666666666666666,512.0,119.6422140708826,0.8611609090909146,29.796735466666668,-89.84547860421593,-18.945540000000122,-3.2227244820098093,0.04296875,22.0,18.945540000000122,-0.2184044,-4.083885391100724
23,0,0.6666666666666666,512.0,124.04190621955908,0.8619869565217001,30.993878133333332,-93.04802808622574,-19.825699999999102,-3.183579482009854,0.044921875,23.0,19.825699999999102,-0.22866012173913042,-4.045566438531554
