lnz_0,phase,component,beta,volume,edge_distance,betaOmega,nvec,PE,dens,betaF,S,betaG,betapV,PE_n
-6.92,0,0,1.372288015808758,512.0,436.0,-0.5087328500386934,0.5118780724151382,-0.004393920994948736,0.0009997618601858167,-4.050929111151449,4.8127164946503775,-3.542196261112756,0.5087328500386934,-0.00858392111663893
-6.92,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.91,0,0,1.372288015808758,512.0,436.0,-0.5138776315480375,0.517087129143516,-0.004483856831498753,0.0010099357991084296,-4.086949693929733,4.856427244650539,-3.573072062381695,0.5138776315480375,-0.008671375825821942
-6.91,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.9,0,0,1.372288015808758,512.0,436.0,-0.5190747715531677,0.5223498655591411,-0.004575645839558397,0.0010202145811701974,-4.123288843911241,4.900534538299741,-3.6042140723580736,0.5190747715531677,-0.00875973392787317
-6.9,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.89,0,0,1.372288015808758,512.0,436.0,-0.524324809680881,0.5276668486841161,-0.00466932658868168,0.0010305993138361642,-4.15994939711444,4.945042009221069,-3.6356245874335595,0.524324809680881,-0.008849005012018367
-6.89,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.88,0,0,1.372288015808758,512.0,436.0,-0.5296282912595084,0.5330386518175594,-0.004764938463165894,0.0010410911168311707,-4.196934215764317,4.989953325541587,-3.6673059245048085,0.5296282912595084,-0.008939198774644896
-6.88,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.87,0,0,1.372288015808758,512.0,436.0,-0.5349857673820542,0.5384658546110945,-0.004862521679640186,0.001051691122287294,-4.234246188560274,5.035272190249335,-3.6992604211782196,0.5349857673820542,-0.009030325020612734
-6.87,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.86,0,0,1.372288015808758,512.0,436.0,-0.5403977949701392,0.5439490431453515,-0.004962117305044288,0.0010624004748932647,-4.271888230947251,5.081002341554529,-3.7314904359771117,0.5403977949701392,-0.009122393664581434
-6.86,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.85,0,0,1.372288015808758,512.0,436.0,-0.5458649368386586,0.5494888100075145,-0.005063767275008903,0.0010732203320459267,-4.309863285390133,5.127147553255066,-3.763998348551474,0.5458649368386586,-0.009215414732357614
-6.85,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.84,0,0,1.372288015808758,512.0,436.0,-0.5513877617612188,0.5550857543699387,-0.00516751441264628,0.0010841518640037865,-4.348174321651599,5.173711635106513,-3.7967865598903803,0.5513877617612188,-0.00930939836226165
-6.84,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.83,0,0,1.372288015808758,512.0,436.0,-0.5569668445364289,0.5607404820698491,-0.005273402447759163,0.001095196254042674,-4.386824337073498,5.2206984331966755,-3.829857492537069,0.5569668445364289,-0.009404354806511504
-6.83,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.82,0,0,1.372288015808758,512.0,436.0,-0.562602766054928,0.5664536056901379,-0.005381476036480174,0.0011063546986135506,-4.425816356861668,5.268111830324652,-3.863213590806741,0.562602766054928,-0.009500294432628177
