T*,V*,Rcut*,TAIL,ln(z*),<rho*>,stdev,<p*>,stdev,<U*>,stdev
0.72871,512.0,2.5,LFS,-6.9197587626401535,0.001000126627060111,1.2362977104220185e-07,0.0007243410621269703,9.518431957106251e-08,-0.0043969271817536505,2.1315189481969864e-06
0.72871,512.0,2.5,LFS,-6.915093964081134,0.0010048610760755511,1.2414965802556919e-07,0.0007277488183858852,9.559684068452037e-08,-0.004438679353722679,2.150709818163334e-06
0.72871,512.0,2.5,LFS,-6.910429165522114,0.0010096182164953458,1.246715358881156e-07,0.00073117270692381,9.601105504605596e-08,-0.004480830599626897,2.1700716116546233e-06
0.72871,512.0,2.5,LFS,-6.905764366963094,0.0010143981597539886,1.251954102676485e-07,0.0007346128050645399,9.642696889910819e-08,-0.004523384771375151,2.1896058609057754e-06
0.72871,512.0,2.5,LFS,-6.901099568404071,0.0010192010178590807,1.2572128680931798e-07,0.0007380691905116416,9.684458850491077e-08,-0.004566345758597813,2.209314112764394e-06
0.72871,512.0,2.5,LFS,-6.896434769845051,0.0010240269033945253,1.262491711664908e-07,0.0007415419413504055,9.726392014106397e-08,-0.004609717489024034,2.2291979288710966e-06
0.72871,512.0,2.5,LFS,-6.891769971286031,0.0010288759295237503,1.2677906900085242e-07,0.0007450311360498117,9.768497010241796e-08,-0.0046535039288629915,2.2492588858012496e-06
0.72871,512.0,2.5,LFS,-6.887105172727011,0.0010337482099929463,1.2731098598362897e-07,0.0007485368534645034,9.810774470092891e-08,-0.00469770908318897,2.2694985752550256e-06
0.72871,512.0,2.5,LFS,-6.882440374167992,0.0010386438591343246,1.2784492779530683e-07,0.000752059172836776,9.853225026521024e-08,-0.004742336996330448,2.2899186042030393e-06
0.72871,512.0,2.5,LFS,-6.877775575608972,0.0010435629918694,1.2838090012743695e-07,0.0007555981737985726,9.895849314121991e-08,-0.004787391752263229,2.3105205950873977e-06
0.72871,512.0,2.5,LFS,-6.873110777049952,0.0010485057237122918,1.289189086828984e-07,0.0007591539363734938,9.938647969179043e-08,-0.004832877475007593,2.3313061859757666e-06
0.72871,512.0,2.5,LFS,-6.868445978490929,0.0010534721707730526,1.294589591760286e-07,0.0007627265409788207,9.981621629677435e-08,-0.004878798329029666,2.3522770307512177e-06
0.72871,512.0,2.5,LFS,-6.863781179931909,0.0010584624497609828,1.3000105733470165e-07,0.0007663160684275338,1.0024770935367427e-07,-0.004925158519646449,2.373434799267152e-06
0.72871,512.0,2.5,LFS,-6.859116381372889,0.0010634766779880408,1.3054520889991117e-07,0.0007699225999303746,1.0068096527635967e-07,-0.004971962293436008,2.3947811775636866e-06
0.72871,512.0,2.5,LFS,-6.854451582813869,0.0010685149733722006,1.3109141962719585e-07,0.0007735462170978877,1.0111599049634739e-07,-0.005019213938650952,2.416317868025176e-06
0.72871,512.0,2.5,LFS,-6.849786784254849,0.0010735774544408621,1.3163969528780164e-07,0.0007771870019424878,1.0155279146135112e-07,-0.0050669177856366,2.438046589591137e-06
0.72871,512.0,2.5,LFS,-6.84512198569583,0.001078664240334291,1.3219004166827775e-07,0.0007808450368805406,1.0199137463752805e-07,-0.005115078207253521,2.459969077916868e-06
0.72871,512.0,2.5,LFS,-6.840457187136808,0.0010837754508090615,1.327424645736696e-07,0.0007845204047344491,1.024317465072346e-07,-0.005163699619304326,2.4820870855824224e-06
0.72871,512.0,2.5,LFS,-6.8357923885777865,0.001088911206241537,1.3329696982655775e-07,0.0007882131887347562,1.028739135704655e-07,-0.005212786480964916,2.504402382284525e-06
0.72871,512.0,2.5,LFS,-6.831127590018767,0.001094071627631364,1.338535632686497e-07,0.000791923472522256,1.0331788234441417e-07,-0.005262343295220251,2.5269167550361977e-06
0.72871,512.0,2.5,LFS,-6.826462791459747,0.0010992568366049909,1.344122507619373e-07,0.0007956513401501195,1.037636593637233e-07,-0.005312374609304552,2.549632008349309e-06
0.72871,512.0,2.5,LFS,-6.821797992900727,0.0011044669554192124,1.3497303819025928e-07,0.0007993968760860315,1.0421125117968588e-07,-0.0053628850151461625,2.572549964463377e-06
0.72871,512.0,2.5,LFS,-6.817133194341707,0.0011097021069647324,1.3553593145963326e-07,0.0008031601652143388,1.046606643616183e-07,-0.005413879149816975,2.5956724635288316e-06
0.72871,512.0,2.5,LFS,-6.8124683957826875,0.001114962414769752,1.361009365000988e-07,0.0008069412928382103,1.0511190549583794e-07,-0.005465361695986503,2.6190013638335357e-06
0.72871,512.0,2.5,LFS,-6.807803597223666,0.0011202480030035814,1.3666805926620704e-07,0.0008107403446818128,1.0556498118611156e-07,-0.005517337382380761,2.6425385419915144e-06
0.72871,512.0,2.5,LFS,-6.803138798664646,0.0011255589964802755,1.3723730573910212e-07,0.0008145574068924935,1.0601989805373175e-07,-0.005569810984245827,2.666285893168543e-06
0.72871,512.0,2.5,LFS,-6.7984740001056245,0.001130895520662291,1.378086819270004e-07,0.0008183925660429818,1.064766627382262e-07,-0.005622787323816262,2.690245331294728e-06
0.72871,512.0,2.5,LFS,-6.793809201546605,0.0011362577016641633,1.3838219386805592e-07,0.0008222459091335906,1.0693528189402717e-07,-0.005676271270788416,2.7144187892915852e-06
0.72871,512.0,2.5,LFS,-6.789144402987585,0.0011416456662562227,1.3895784762945122e-07,0.0008261175235944522,1.0739576219602382e-07,-0.005730267742798631,2.7388082192792373e-06
0.72871,512.0,2.5,LFS,-6.784479604428565,0.0011470595418683236,1.395356493106999e-07,0.000830007497287755,1.07858110334466e-07,-0.005784781705906421,2.763415592803167e-06
0.72871,512.0,2.5,LFS,-6.779814805869545,0.0011524994565935782,1.4011560504475379e-07,0.0008339159185099543,1.083223330208248e-07,-0.005839818175082906,2.788242901093293e-06
0.72871,512.0,2.5,LFS,-6.775150007310524,0.0011579655391921624,1.4069772099872376e-07,0.0008378428759940923,1.087884369803371e-07,-0.00589538221470373,2.8132921552289143e-06
0.72871,512.0,2.5,LFS,-6.770485208751504,0.0011634579190951096,1.4128200337637903e-07,0.0008417884589120336,1.09256428958197e-07,-0.005951478939047953,2.8385653864371404e-06
0.72871,512.0,2.5,LFS,-6.765820410192482,0.0011689767264081359,1.4186845841977897e-07,0.0008457527568767623,1.0972631571656837e-07,-0.006008113512801517,2.864064646296e-06
0.72871,512.0,2.5,LFS,-6.761155611633463,0.0011745220919154957,1.42457092410028e-07,0.0008497358599446798,1.101981040360491e-07,-0.006065291151566239,2.889792006975976e-06
0.72871,512.0,2.5,LFS,-6.756490813074443,0.0011800941470838603,1.430479116702626e-07,0.0008537378586179197,1.106718007150426e-07,-0.006123017122374032,2.915749561502732e-06
0.72871,512.0,2.5,LFS,-6.751826014515423,0.0011856930240662232,1.4364092256643742e-07,0.0008577588438466738,1.1114741256992938e-07,-0.006181296744206581,2.941939423974457e-06
0.72871,512.0,2.5,LFS,-6.747161215956401,0.0011913188557058298,1.4423613150962422e-07,0.0008617989070315317,1.1162494643548915e-07,-0.0062401353885203955,2.968363729831933e-06
0.72871,512.0,2.5,LFS,-6.742496417397382,0.0011969717755401323,1.4483354495785567e-07,0.0008658581400258341,1.121044091643752e-07,-0.006299538479777318,2.995024636086947e-06
0.72871,512.0,2.5,LFS,-6.737831618838362,0.001202651917804774,1.4543316941808414e-07,0.0008699366351380382,1.1258580762774393e-07,-0.006359511495980715,3.021924321611383e-06
0.72871,512.0,2.5,LFS,-6.733166820279342,0.0012083594174375953,1.4603501144820202e-07,0.0008740344851341,1.1306914871514158e-07,-0.00642005996921715,3.0490649873703566e-06
0.72871,512.0,2.5,LFS,-6.72850202172032,0.001214094410082672,1.4663907765884105e-07,0.0008781517832398671,1.1355443933491512e-07,-0.006481189486203821,3.0764488566863644e-06
0.72871,512.0,2.5,LFS,-6.723837223161301,0.0012198570320943673,1.4724537471601662e-07,0.0008822886231434842,1.1404168641289241e-07,-0.006542905688841636,3.1040781755277652e-06
0.72871,512.0,2.5,LFS,-6.719172424602281,0.0012256474205414353,1.4785390934249415e-07,0.0008864450989978177,1.1453089689475197e-07,-0.006605214274774257,3.1319552127385238e-06
0.72871,512.0,2.5,LFS,-6.714507626043259,0.0012314657132111342,1.4846468832148218e-07,0.0008906213054228947,1.150220777441101e-07,-0.006668120997952963,3.1600822603468948e-06
0.72871,512.0,2.5,LFS,-6.709842827484239,0.0012373120486133364,1.4907771849672682e-07,0.0008948173375083335,1.1551523594469306e-07,-0.006731631669206925,3.1884616338010154e-06
0.72871,512.0,2.5,LFS,-6.70517802892522,0.001243186565984754,1.4969300677725012e-07,0.0008990332908158351,1.1601037849792764e-07,-0.006795752156820668,3.217095672293242e-06
0.72871,512.0,2.5,LFS,-6.7005132303662,0.0012490894052931,1.5031056013790463e-07,0.000903269261381642,1.1650751242495136e-07,-0.006860488387116397,3.2459867390094594e-06
0.72871,512.0,2.5,LFS,-6.695848431807178,0.0012550207072413242,1.5093038562293435e-07,0.0009075253457190354,1.1700664476600771e-07,-0.00692584634504302,3.275137221428673e-06
0.72871,512.0,2.5,LFS,-6.6911836332481585,0.0012609806132718678,1.5155249034811321e-07,0.0009118016408208422,1.1750778258098667e-07,-0.006991832074771313,3.304549531612927e-06
0.72871,512.0,2.5,LFS,-6.686518834689139,0.0012669692655709452,1.5217688150339437e-07,0.0009160982441619548,1.1801093294863284e-07,-0.007058451680295255,3.3342261064741473e-06
0.72871,512.0,2.5,LFS,-6.681854036130117,0.001272986807072858,1.5280356635528607e-07,0.0009204152537018678,1.1851610296818842e-07,-0.007125711326039832,3.3641694081041748e-06
