n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
0,0,1.372288015808758,512.0,-9.055526203839663e-10,,-9.055526203839663e-10,0.0,0.0,-6.2380364097351135,0.0,0.0,-0.0,-inf,
1,0,1.372288015808758,512.0,7.738036408829765,0.3346899999999948,1.4999999990946515,-6.2380364097351135,-0.3346899999999948,-5.903346409735119,0.001953125,1.0,0.3346899999999948,-6.5973648e-10,-6.2380364097351135
2,0,1.372288015808758,512.0,14.761798076705626,0.5256004999999808,2.9551052572353886,-11.806692819470237,-1.0512009999999616,-5.377745909735138,0.00390625,2.0,1.0512009999999616,-0.016357624,-5.903346409735119
3,0,1.372288015808758,512.0,21.358641399053475,0.6097864999999985,4.365113169848088,-16.99352822920539,-1.8293594999999954,-5.054722909735131,0.005859375,3.0,1.8293594999999954,-0.03276446066666667,-5.664509409735129
4,0,1.372288015808758,512.0,27.64582014461491,0.6563602499999996,5.729681505674411,-21.9161386389405,-2.6254409999999986,-4.822674409735125,0.0078125,4.0,2.6254409999999986,-0.0492459475,-5.479034659735125
5,0,1.372288015808758,512.0,33.687377343717564,0.6845549999999931,7.048500295041923,-26.63887704867564,-3.422774999999966,-4.643220409735134,0.009765625,5.0,3.422774999999966,-0.06580247,-5.3277754097351275
6,0,1.372288015808758,512.0,39.524051525488204,0.7020649999999975,8.321472067077439,-31.202579458410767,-4.212389999999985,-4.49836490973513,0.01171875,6.0,4.212389999999985,-0.08240834833333334,-5.200429909735128
7,0,1.372288015808758,512.0,45.18381588133359,0.7127940714285691,9.548209013187687,-35.6356068681459,-4.989558499999983,-4.378006909735131,0.013671875,7.0,4.989558499999983,-0.09908280142857143,-5.0908009811637
8,0,1.372288015808758,512.0,50.68710703506839,0.7189897499999924,10.728513757187358,-39.95859327788103,-5.7519179999999395,-4.275834409735136,0.015625,8.0,5.7519179999999395,-0.1158180925,-4.994824159735129
9,0,1.372288015808758,512.0,56.04948658083844,0.7220148888888905,11.862210893222269,-44.18727568761617,-6.4981340000000145,-4.187682409735128,0.017578125,9.0,6.4981340000000145,-0.13260814444444444,-4.909697298624019
10,0,1.372288015808758,512.0,61.2827352515004,0.7228448999999934,12.948777154149113,-48.333958097351285,-7.228448999999934,-4.110550909735135,0.01953125,10.0,7.228448999999934,-0.14947466,-4.833395809735128
11,0,1.372288015808758,512.0,66.39611872101241,0.7215770454545353,13.987741213925979,-52.40837750708644,-7.937347499999888,-4.042820909735141,0.021484375,11.0,7.937347499999888,-0.1664280090909091,-4.7643979551896765
12,0,1.372288015808758,512.0,71.39839765529092,0.7188799166666762,14.97879773846935,-56.41959991682157,-8.626559000000114,-3.982753409735121,0.0234375,12.0,8.626559000000114,-0.18346502499999998,-4.701633326401797
13,0,1.372288015808758,512.0,76.29585369708818,0.7152450384615315,15.921969370531487,-60.373884326556684,-9.29818549999991,-3.9288999097351365,0.025390625,13.0,9.29818549999991,-0.20056513076923077,-4.644144948196668
14,0,1.372288015808758,512.0,81.09455896287031,0.7106969285714305,16.817159226578475,-64.27739973629184,-9.949757000000027,-3.8805459097351296,0.02734375,14.0,9.949757000000027,-0.21771985,-4.59124283830656
15,0,1.372288015808758,512.0,85.79810208089816,0.7054098333333452,17.66312593487121,-68.13497614602694,-10.581147500000178,-3.8369219097351177,0.029296875,15.0,10.581147500000178,-0.23497856666666667,-4.542331743068463
16,0,1.372288015808758,512.0,90.41129995679952,0.6992703124999986,18.46005640103745,-71.95124355576208,-11.188324999999978,-3.797682409735131,0.03125,16.0,11.188324999999978,-0.25231326875,-4.49695272223513
17,0,1.372288015808758,512.0,94.93641978972083,0.6924855294117523,19.206078824223628,-75.7303409654972,-11.77225399999979,-3.762240409735142,0.033203125,17.0,11.77225399999979,-0.2697907823529412,-4.454725939146894
18,0,1.372288015808758,512.0,99.3784196861242,0.6853086111111174,19.90269531089185,-79.47572437523236,-12.335555000000113,-3.730009409735125,0.03515625,18.0,12.335555000000113,-0.28732649444444447,-4.415318020846242
19,0,1.372288015808758,512.0,103.73790421279196,0.6780825789473711,20.547544427824512,-83.19035978496746,-12.883569000000051,-3.700357409735126,0.037109375,19.0,12.883569000000051,-0.3050017842105263,-4.378439988682498
20,0,1.372288015808758,512.0,108.0184951566079,0.6704060499999898,21.142055961905285,-86.87643919470261,-13.408120999999795,-3.673415909735141,0.0390625,20.0,13.408120999999795,-0.32274362,-4.343821959735131
21,0,1.372288015808758,512.0,112.22273029609835,0.6621639285714384,21.685538691660604,-90.53719160443774,-13.905442500000206,-3.6491309097351206,0.041015625,21.0,13.905442500000206,-0.34056648095238096,-4.311294838306559
22,0,1.372288015808758,512.0,116.35267592874793,0.6539718181818159,22.17797491457507,-94.17470101417285,-14.38737999999995,-3.626696409735132,0.04296875,22.0,14.38737999999995,-0.35845990454545457,-4.280668227916948
23,0,1.372288015808758,512.0,120.40688912673903,0.6454471304347724,22.61630470283103,-97.790584423908,-14.845283999999765,-3.6063174097351407,0.044921875,23.0,14.845283999999765,-0.3765116347826087,-4.251764540169913
24,0,1.372288015808758,512.0,124.3903441634314,0.6366569166666759,23.00300832978826,-101.38733583364314,-15.279766000000222,-3.5878154097351214,0.046875,24.0,15.279766000000222,-0.394626575,-4.224472326401798
25,0,1.372288015808758,512.0,128.30073789299195,0.6277942000000035,23.3345226496137,-104.96621524337824,-15.69485500000009,-3.5708544097351265,0.048828125,25.0,15.69485500000009,-0.412901,-4.198648609735129
26,0,1.372288015808758,512.0,132.14333154364596,0.6189311153846114,23.614286890532583,-108.52904465311339,-16.092208999999897,-3.5552629097351343,0.05078125,26.0,16.092208999999897,-0.43122011538461535,-4.174194025119745
27,0,1.372288015808758,512.0,135.91561661004835,0.6099925000000047,23.838875547199844,-112.07674106284851,-16.469797500000126,-3.5409979097351254,0.052734375,27.0,16.469797500000126,-0.4496714074074074,-4.1509904097351304
28,0,1.372288015808758,512.0,139.61881036732916,0.6007483214285669,24.007769894745508,-115.61104047258364,-16.820952999999875,-3.5282174097351344,0.0546875,28.0,16.820952999999875,-0.4682542142857143,-4.128965731163701
29,0,1.372288015808758,512.0,143.25448614291628,0.5913186379310326,24.121310260597493,-119.13317588231878,-17.148240499999943,-3.516721909735132,0.056640625,29.0,17.148240499999943,-0.4869463793103448,-4.108040547666165
30,0,1.372288015808758,512.0,146.8228090028442,0.5819060666666697,24.1783247107903,-122.6444842920539,-17.45718200000009,-3.506243409735127,0.05859375,30.0,17.45718200000009,-0.5057654333333333,-4.088149476401797
31,0,1.372288015808758,512.0,150.32535970059513,0.5723355161290332,24.179696998806108,-126.14566270178904,-17.74240100000003,-3.4968794097351292,0.060546875,31.0,17.74240100000003,-0.5246783225806452,-4.069214925864163
32,0,1.372288015808758,512.0,153.7592281398619,0.5626566875000023,24.120985028337746,-129.63824311152416,-18.005014000000074,-3.4885384097351277,0.0625,32.0,18.005014000000074,-0.54377740625,-4.05119509723513
33,0,1.372288015808758,512.0,157.12959958905031,0.5529394999999941,24.006860067791024,-133.1227395212593,-18.247003499999806,-3.481082909735136,0.064453125,33.0,18.247003499999806,-0.5629426060606061,-4.03402240973513
34,0,1.372288015808758,512.0,160.4296400380192,0.5430921764705876,23.829231107024743,-136.60040893099443,-18.465133999999978,-3.474566909735131,0.06640625,34.0,18.465133999999978,-0.5823415,-4.017659086205718
35,0,1.372288015808758,512.0,163.66398131235064,0.5331076142857041,23.59210797162108,-140.07187334072955,-18.658766499999643,-3.4689459097351403,0.068359375,35.0,18.658766499999643,-0.6018705714285715,-4.002053524020845
36,0,1.372288015808758,512.0,166.83573319958714,0.5232581111110951,23.29743244912242,-143.5383007504647,-18.837291999999422,-3.463916909735147,0.0703125,36.0,18.837291999999422,-0.6214796666666667,-3.987175020846242
37,0,1.372288015808758,512.0,169.9393127646241,0.5134661486486622,22.93960560442426,-146.99970716019985,-18.998247500000502,-3.4594989097351174,0.072265625,37.0,18.998247500000502,-0.6412725675675676,-3.9729650583837794
38,0,1.372288015808758,512.0,172.97897111456862,0.5033936842105384,22.521672544633667,-150.45729856993495,-19.12896000000046,-3.456008909735118,0.07421875,38.0,19.12896000000046,-0.6611763684210527,-3.9594025939456565
39,0,1.372288015808758,512.0,175.9542960984965,0.4932865769230786,22.042571118826416,-153.91172497967008,-19.238176500000066,-3.4531679097351287,0.076171875,39.0,19.238176500000066,-0.6812023846153846,-3.946454486658207
40,0,1.372288015808758,512.0,178.86912216918043,0.483382450000002,21.505487779775216,-157.3636343894052,-19.33529800000008,-3.450708409735128,0.078125,40.0,19.33529800000008,-0.7012834,-3.93409085973513
41,0,1.372288015808758,512.0,181.7169938116007,0.4735273414634038,20.90385201246037,-160.81314179914034,-19.414620999999556,-3.4487444097351414,0.080078125,41.0,19.414620999999556,-0.7215321707317073,-3.922271751198545
42,0,1.372288015808758,512.0,184.50342124238676,0.4635567142857054,20.24229803351127,-164.2611232088755,-19.469381999999626,-3.4474224097351396,0.08203125,42.0,19.469381999999626,-0.7418563095238095,-3.910979124020845
43,0,1.372288015808758,512.0,187.22706142203037,0.453423325581397,19.51907480341974,-167.70798661861062,-19.49720300000007,-3.446762409735129,0.083984375,43.0,19.49720300000007,-0.7622802325581396,-3.900185735316526
44,0,1.372288015808758,512.0,189.88214181874247,0.44336645454546314,18.72749379039673,-171.15464802834575,-19.50812400000038,-3.446511909735122,0.0859375,44.0,19.50812400000038,-0.782907909090909,-3.889878364280585
45,0,1.372288015808758,512.0,192.47255467378506,0.4335205444444417,17.871544235704185,-174.60101043808086,-19.508424499999876,-3.446501909735133,0.087890625,45.0,19.508424499999876,-0.8036611555555555,-3.8800224541795747
46,0,1.372288015808758,512.0,195.00270118157016,0.42353971739129354,16.95504933375416,-178.047651847816,-19.482826999999503,-3.4470614097351415,0.08984375,46.0,19.482826999999503,-0.8244712173913044,-3.870601127126435
47,0,1.372288015808758,512.0,197.47385181500198,0.4139006702127706,15.978718557450833,-181.49513325755115,-19.453331500000218,-3.447697909735126,0.091796875,47.0,19.453331500000218,-0.8453234680851065,-3.8615985799478967
48,0,1.372288015808758,512.0,199.88298810998637,0.4043232500000098,14.939940442700113,-184.94304766728627,-19.40751600000047,-3.4486569097351207,0.09375,48.0,19.40751600000047,-0.8662549166666667,-3.8529801597351305
49,0,1.372288015808758,512.0,202.22898973459434,0.39441040816327283,13.836542657572963,-188.3924470770214,-19.32611000000037,-3.450333409735123,0.095703125,49.0,19.32611000000037,-0.8872930204081633,-3.8447438178983955
50,0,1.372288015808758,512.0,204.51704955832133,0.3843193800000029,12.673335071564814,-191.8437144867565,-19.215969000000143,-3.4525549097351274,0.09765625,50.0,19.215969000000143,-0.90836128,-3.83687428973513
51,0,1.372288015808758,512.0,206.74047383189804,0.3746154509803911,11.442916935406402,-195.29755689649164,-19.105387999999948,-3.4547484097351315,0.099609375,51.0,19.105387999999948,-0.9295636666666667,-3.8293638607155223
52,0,1.372288015808758,512.0,208.91454571909333,0.3653117307692311,10.161334412866566,-198.75321130622677,-18.99621000000002,-3.45686540973513,0.1015625,52.0,18.99621000000002,-0.9506675769230769,-3.822177140504361
53,0,1.372288015808758,512.0,211.02306194713753,0.35584990566037067,8.811774231175633,-202.2112877159619,-18.860044999999644,-3.459457409735137,0.103515625,53.0,18.860044999999644,-0.9719097547169812,-3.8153073153955077
