phase,mu_0,beta,volume,kT,density,omega,P
0,-10.0,0.8333333333333334,512.0,1.2,0.00024098796222027675,-0.1479266348586569,0.00028891920870831425
0,-7.944980531656318,0.8333333333333334,512.0,1.2,0.0013471204183211375,-0.8234050184431417,0.0016082129266467612
0,-7.226647925336837,0.8333333333333334,512.0,1.2,0.002472464728336371,-1.5046823894335142,0.0029388327918623324
0,-6.78041976743401,0.8333333333333334,512.0,1.2,0.0036178048483727406,-2.1919248143247065,0.0042811031529779425
0,-6.455886207824955,0.8333333333333334,512.0,1.2,0.004783856021252468,-2.885287518026066,0.00563532718364466
0,-6.200698241617259,0.8333333333333334,512.0,1.2,0.005971358054326024,-3.5849204308775247,0.007001797716557665
0,-5.990375823811565,0.8333333333333334,512.0,1.2,0.007181156147371432,-4.2909793634376285,0.008380819069214118
0,-5.811477085540005,0.8333333333333334,512.0,1.2,0.008414222407080528,-5.003633626832572,0.009772721927407368
0,-5.655821288179482,0.8333333333333334,512.0,1.2,0.009671633833058522,-5.723068500018753,0.011177868164099127
0,-5.518057459541903,0.8333333333333334,512.0,1.2,0.01095453674832169,-6.44948406674232,0.012596648567856094
0,-5.394493183808414,0.8333333333333334,512.0,1.2,0.0122641203084406,-7.18309258555891,0.014029477706169746
0,-5.282472904539133,0.8333333333333334,512.0,1.2,0.01360160931938621,-7.924116089895744,0.015476789238077625
0,-5.180022726654175,0.8333333333333334,512.0,1.2,0.014968276572949949,-8.672785158119956,0.016939033511953038
0,-5.085635391961345,0.8333333333333334,512.0,1.2,0.016365469072637834,-9.429339127666386,0.01841667798372341
0,-4.998133876449474,0.8333333333333334,512.0,1.2,0.017794640362972368,-10.194027573802417,0.019910210105082846
0,-4.916581451079668,0.8333333333333334,512.0,1.2,0.019257381737002803,-10.967112636618262,0.021420141868395044
0,-4.840220419005277,0.8333333333333334,512.0,1.2,0.020755447481144267,-11.748871724132304,0.022947015086195906
0,-4.768429211976035,0.8333333333333334,512.0,1.2,0.022290772601516573,-12.539600197724857,0.02449140663618136
0,-4.7006916153780365,0.8333333333333334,512.0,1.2,0.023865484682432554,-13.339613804674597,0.026053933212255072
0,-4.6365742267195325,0.8333333333333334,512.0,1.2,0.025481913794875816,-14.149250805399626,0.027635255479296145
0,-4.575709637976795,0.8333333333333334,512.0,1.2,0.02714260521196006,-14.968873900857751,0.029236081837612796
0,-4.517783681654221,0.8333333333333334,512.0,1.2,0.02885033912451583,-15.798872165938734,0.03085717219909909
0,-4.46252561636298,0.8333333333333334,512.0,1.2,0.03060816006447732,-16.639663227566523,0.032499342241340864
0,-4.409700474619966,0.8333333333333334,512.0,1.2,0.03241941705642792,-17.491695902866578,0.034163468560286285
0,-4.359103025278663,0.8333333333333334,512.0,1.2,0.03428781431907239,-18.355453458496726,0.03585049503612642
0,-4.310552958263518,0.8333333333333334,512.0,1.2,0.03621747208241882,-19.23145759675511,0.037561440618662324
0,-4.263891006181551,0.8333333333333334,512.0,1.2,0.03821299790332432,-20.120273242544858,0.039297408676845426
0,-4.218975792240557,0.8333333333333334,512.0,1.2,0.040279570591584664,-21.022514212952313,0.041059598072172486
0,-4.175681247130645,0.8333333333333334,512.0,1.2,0.04242304116458745,-21.938849902081753,0.04284931621500342
0,-4.1338944759110134,0.8333333333333334,512.0,1.2,0.044650057769699464,-22.87001320272931,0.044667994536580685
0,-4.093513983986245,0.8333333333333334,512.0,1.2,0.0469682240278282,-23.816810003728055,0.04651720703853136
0,-4.054448191989432,0.8333333333333334,512.0,1.2,0.049386302844240344,-24.780130739106237,0.04839869284981687
0,-4.016614184889,0.8333333333333334,512.0,1.2,0.051914480966093635,-25.760964622908062,0.05031438402911731
0,-3.9799366523429307,0.8333333333333334,512.0,1.2,0.054564714639834797,-26.7604173981487,0.05226644023075918
0,-3.9443469862515035,0.8333333333333334,512.0,1.2,0.057351185630871236,-27.779733700349965,0.054257292383496025
0,-3.909782508328542,0.8333333333333334,512.0,1.2,0.060290912659736705,-28.820325558259047,0.0562896983559747
0,-3.876185805840697,0.8333333333333334,512.0,1.2,0.06340459075707901,-29.88380924481164,0.058366814931272736
0,-3.843504157831957,0.8333333333333334,512.0,1.2,0.06671777852261072,-30.972053841998516,0.06049229266015335
0,-3.811689037433794,0.8333333333333334,512.0,1.2,0.07026263769964328,-32.08724683053238,0.06267040396588355
0,-3.780695678465874,0.8333333333333334,512.0,1.2,0.07408058908817763,-33.2319854195299,0.06490622152251933
0,-3.750482696611893,0.8333333333333334,512.0,1.2,0.07822657891741466,-34.40940864393058,0.06720587625767692
0,-3.7210117571259933,0.8333333333333334,512.0,1.2,0.0827764203167351,-35.623398064007155,0.06957694934376397
0,-3.692247282375499,0.8333333333333334,512.0,1.2,0.08784082598134428,-36.87890462280155,0.07202911059140928
0,-3.6641561936230853,0.8333333333333334,512.0,1.2,0.0935971549447305,-38.1825423992126,0.07457527812346211
0,-3.636707682347933,0.8333333333333334,512.0,1.2,0.10037480867509144,-39.5438483802107,0.07723407886759902
1,-3.609964681737708,0.8333333333333334,512.0,1.2,0.5728106118119174,-47.322808697371066,0.09242736073705286
1,-3.583804701699461,0.8333333333333334,512.0,1.2,0.5809264648431433,-55.05051642837299,0.10752053989916599
1,-3.558202862952134,0.8333333333333334,512.0,1.2,0.5879968000869307,-62.7125228030542,0.12248539609971523
1,-3.533135845515659,0.8333333333333334,512.0,1.2,0.5942937633193881,-70.30004832805785,0.137304781890738
1,-3.5085817610681445,0.8333333333333334,512.0,1.2,0.5999872053768196,-77.8075560230161,0.15196788285745333
1,-3.4845200381024637,0.8333333333333334,512.0,1.2,0.6051928122707501,-85.23157142378264,0.16646791293707547
1,-3.4609313183722996,0.8333333333333334,512.0,1.2,0.6099936876555094,-92.57001105723064,0.1808008028461536
1,-3.4377973633215637,0.8333333333333334,512.0,1.2,0.6144518492964024,-99.82176343813013,0.19496438171509792
1,-3.415100969364018,0.8333333333333334,512.0,1.2,0.618615027175368,-106.9864130314968,0.20895783795214218
1,-3.3928258910272326,0.8333333333333334,512.0,1.2,0.622520942041629,-114.064051710293,0.22278135099666602
1,-3.3709567711007953,0.8333333333333334,512.0,1.2,0.6262000990451139,-121.05514634189757,0.2364358326990187
1,-3.349479077036467,0.8333333333333334,512.0,1.2,0.6296776544478924,-127.96044348691105,0.24992274118537314
1,-3.3283790429405946,0.8333333333333334,512.0,1.2,0.6329746866312465,-134.78089920655185,0.2632439437627966
1,-3.3076436165788965,0.8333333333333334,512.0,1.2,0.6361090798265718,-141.51762623476802,0.2764016137397813
1,-3.2872604108827046,0.8333333333333334,512.0,1.2,0.6390961549339004,-148.17185345260555,0.2893981512746202
1,-3.2672176595054863,0.8333333333333334,512.0,1.2,0.6419491341566268,-154.74489431246408,0.3022361217040314
1,-3.2475041760303687,0.8333333333333334,512.0,1.2,0.6446794949436081,-161.2381219526564,0.31491820693878203
1,-3.2281093164745474,0.8333333333333334,512.0,1.2,0.6472972484560566,-167.65294944169946,0.32744716687831926
1,-3.209022944775934,0.8333333333333334,512.0,1.2,0.6498111649115917,-173.9908140421692,0.33982580867611173
1,-3.1902354009818383,0.8333333333333334,512.0,1.2,0.6522289601516569,-180.2531646792219,0.35205696226410527
1,-3.171737471889755,0.8333333333333334,512.0,1.2,0.6545574528164579,-186.44145199742502,0.36414346093247074
1,-3.153520363916879,0.8333333333333334,512.0,1.2,0.6568026983807361,-192.55712052695148,0.3760881260292021
1,-3.1355756779983466,0.8333333333333334,512.0,1.2,0.6589701042614886,-198.6016025777991,0.38789375503476387
1,-3.1178953863348458,0.8333333333333334,512.0,1.2,0.661064528840738,-204.5763135515697,0.3995631124054096
